CPUs, time, speedup
1, 33.84, 1.000
2, 20.35, 1.662
3, 15.90, 2.128
4, 13.59, 2.490
5, 13.17, 2.569
6, 11.84, 2.858
7, 11.11, 3.045
8, 10.53, 3.213
9, 10.14, 3.337
10, 9.88, 3.425
11, 9.49, 3.565
12, 9.29, 3.642
