CPUs, time, speedup
1, 30.96, 1.000
2, 18.94, 1.634
3, 17.04, 1.816
4, 14.82, 2.089
5, 14.09, 2.197
6, 12.96, 2.388
7, 12.17, 2.543
8, 11.40, 2.715
9, 11.02, 2.809
10, 10.69, 2.896
11, 10.31, 3.002
12, 10.27, 3.014
13, 10.07, 3.074
14, 9.92, 3.120
15, 10.04, 3.083
16, 9.97, 3.105
