CPUs, time, speedup
1, 37.12, 1.000
2, 22.15, 1.675
3, 16.89, 2.197
4, 14.50, 2.560
5, 13.70, 2.709
6, 12.63, 2.939
7, 11.76, 3.156
8, 11.39, 3.258
9, 10.60, 3.501
10, 11.04, 3.362
11, 10.12, 3.667
12, 9.97, 3.723
13, 9.58, 3.874
14, 9.28, 4.000
15, 9.22, 4.026
16, 8.98, 4.133
