CPUs, time, speedup
1, 23.50, 1.000
2, 12.65, 1.857
3, 8.98, 2.616
4, 6.83, 3.440
5, 5.95, 3.949
6, 5.08, 4.625
7, 4.59, 5.119
8, 4.14, 5.676
9, 4.14, 5.676
10, 3.91, 6.010
11, 3.78, 6.216
12, 3.62, 6.491
13, 3.50, 6.714
14, 3.47, 6.772
15, 3.39, 6.932
16, 3.26, 7.208
17, 3.18, 7.389
18, 3.19, 7.366
19, 3.11, 7.556
20, 3.07, 7.654
21, 3.04, 7.730
22, 3.11, 7.556
23, 3.10, 7.580
24, 3.09, 7.605
25, 3.05, 7.704
26, 3.01, 7.807
27, 3.05, 7.704
28, 3.06, 7.679
