CPUs, time, speedup
1, 24.17, 1.000
2, 12.52, 1.930
3, 9.16, 2.638
4, 6.89, 3.507
5, 6.03, 4.008
6, 5.12, 4.720
7, 4.67, 5.175
8, 4.19, 5.768
9, 4.14, 5.838
10, 4.00, 6.042
11, 3.88, 6.229
12, 3.80, 6.360
13, 3.69, 6.550
14, 3.68, 6.567
15, 3.60, 6.713
16, 3.39, 7.129
17, 3.34, 7.236
18, 3.33, 7.258
19, 3.31, 7.302
20, 3.25, 7.436
21, 3.27, 7.391
22, 3.24, 7.459
23, 3.24, 7.459
24, 3.23, 7.482
25, 3.21, 7.529
26, 3.21, 7.529
27, 3.16, 7.648
28, 3.20, 7.553
