CPUs, time, speedup
1, 23.87, 1.000
2, 12.62, 1.891
3, 9.10, 2.623
4, 6.88, 3.469
5, 6.03, 3.958
6, 5.11, 4.671
7, 4.67, 5.111
8, 4.23, 5.643
9, 4.16, 5.737
10, 4.08, 5.850
11, 3.87, 6.167
12, 3.81, 6.265
13, 3.71, 6.433
14, 3.66, 6.521
15, 3.60, 6.630
16, 3.38, 7.062
17, 3.36, 7.104
18, 3.34, 7.146
19, 3.27, 7.299
20, 3.23, 7.390
21, 3.21, 7.436
22, 3.23, 7.390
23, 3.21, 7.436
24, 3.17, 7.529
25, 3.14, 7.601
26, 3.14, 7.601
27, 3.12, 7.650
28, 3.12, 7.650
