CPUs, time, speedup
1, 23.85, 1.000
2, 12.54, 1.901
3, 9.03, 2.641
4, 6.79, 3.512
5, 5.97, 3.994
6, 5.08, 4.694
7, 4.66, 5.118
8, 4.13, 5.774
9, 4.15, 5.746
10, 3.95, 6.037
11, 3.81, 6.259
12, 3.62, 6.588
13, 3.53, 6.756
14, 3.46, 6.893
15, 3.42, 6.973
16, 3.21, 7.429
17, 3.21, 7.429
18, 3.20, 7.453
19, 3.10, 7.693
20, 3.05, 7.819
21, 3.07, 7.768
22, 3.11, 7.668
23, 3.10, 7.693
24, 3.09, 7.718
25, 3.05, 7.819
26, 3.03, 7.871
27, 3.05, 7.819
28, 3.11, 7.668
