CPUs, time, speedup
1, 57.34, 1.000
2, 32.40, 1.769
3, 24.97, 2.296
4, 20.07, 2.857
5, 17.85, 3.212
6, 15.97, 3.590
7, 14.80, 3.874
8, 13.74, 4.173
9, 13.53, 4.237
10, 13.45, 4.263
11, 13.14, 4.363
12, 13.44, 4.266
