CPUs, time, speedup
1, 31.17, 1.000
2, 18.20, 1.712
3, 14.43, 2.160
4, 11.97, 2.604
5, 11.12, 2.803
6, 10.33, 3.017
7, 9.66, 3.226
8, 9.04, 3.448
9, 9.13, 3.414
10, 8.86, 3.518
11, 8.64, 3.607
12, 8.19, 3.805
13, 7.99, 3.901
14, 7.82, 3.985
15, 7.59, 4.106
16, 7.24, 4.305
