CPUs, time, speedup
1, 31.66, 1.000
2, 17.76, 1.782
3, 13.74, 2.304
4, 10.92, 2.899
5, 10.61, 2.983
6, 9.81, 3.227
7, 9.55, 3.315
8, 8.88, 3.565
9, 9.03, 3.506
10, 8.62, 3.672
11, 8.23, 3.846
12, 7.96, 3.977
13, 7.78, 4.069
14, 7.39, 4.284
15, 7.31, 4.331
16, 6.83, 4.635
