CPUs, time, speedup
1, 23.89, 1.000
2, 12.47, 1.915
3, 9.05, 2.639
4, 6.86, 3.482
5, 6.00, 3.981
6, 5.09, 4.693
7, 4.64, 5.148
8, 4.24, 5.634
9, 4.19, 5.701
10, 4.00, 5.972
11, 3.84, 6.221
12, 3.73, 6.404
13, 3.64, 6.563
14, 3.62, 6.599
15, 3.53, 6.767
16, 3.33, 7.174
17, 3.30, 7.239
18, 3.29, 7.261
19, 3.25, 7.350
20, 3.17, 7.536
21, 3.18, 7.512
22, 3.17, 7.536
23, 3.18, 7.512
24, 3.13, 7.632
25, 3.14, 7.608
26, 3.17, 7.536
27, 3.10, 7.706
28, 3.12, 7.657
