CPUs, time, speedup
1, 47.27, 1.000
2, 26.74, 1.767
3, 18.30, 2.583
4, 17.24, 2.741
5, 14.89, 3.174
6, 13.24, 3.570
7, 11.83, 3.995
8, 11.96, 3.952
9, 12.43, 3.802
10, 11.68, 4.047
11, 11.02, 4.289
12, 10.88, 4.344
