CPUs, time, speedup
1, 24.19, 1.000
2, 12.74, 1.898
3, 9.17, 2.637
4, 6.89, 3.510
5, 6.03, 4.011
6, 5.15, 4.697
7, 4.71, 5.135
8, 4.24, 5.705
9, 4.17, 5.800
10, 4.02, 6.017
11, 3.88, 6.234
12, 3.78, 6.399
13, 3.64, 6.645
14, 3.65, 6.627
15, 3.56, 6.794
16, 3.37, 7.178
17, 3.32, 7.286
18, 3.30, 7.330
19, 3.21, 7.535
20, 3.25, 7.443
21, 3.18, 7.606
22, 3.22, 7.512
23, 3.19, 7.583
24, 3.17, 7.630
25, 3.15, 7.679
26, 3.12, 7.753
27, 3.11, 7.778
28, 3.13, 7.728
