CPUs, time, speedup
1, 24.02, 1.000
2, 12.56, 1.912
3, 9.11, 2.636
4, 6.88, 3.491
5, 6.05, 3.970
6, 5.23, 4.592
7, 4.71, 5.099
8, 4.22, 5.691
9, 4.21, 5.705
10, 4.07, 5.901
11, 3.85, 6.238
12, 3.80, 6.321
13, 3.75, 6.405
14, 3.66, 6.562
15, 3.62, 6.635
16, 3.38, 7.106
17, 3.33, 7.213
18, 3.29, 7.300
19, 3.27, 7.345
20, 3.25, 7.390
21, 3.24, 7.413
22, 3.21, 7.482
23, 3.25, 7.390
24, 3.18, 7.553
25, 3.15, 7.625
26, 3.16, 7.601
27, 3.15, 7.625
28, 3.15, 7.625
