CPUs, time, speedup
1, 76.43, 1.000
2, 44.61, 1.713
3, 32.68, 2.338
4, 26.45, 2.889
5, 23.20, 3.294
6, 20.38, 3.750
7, 18.84, 4.056
8, 17.30, 4.417
9, 16.82, 4.543
10, 16.28, 4.694
11, 16.07, 4.756
12, 16.07, 4.756
