CPUs, time, speedup
1, 26.57, 1.000
2, 14.68, 1.809
3, 10.84, 2.451
4, 8.06, 3.296
5, 6.97, 3.812
6, 5.88, 4.518
7, 5.36, 4.957
8, 4.74, 5.605
9, 4.71, 5.641
10, 4.61, 5.763
11, 4.47, 5.944
12, 4.41, 6.024
