CPUs, time, speedup
1, 24.14, 1.000
2, 12.44, 1.940
3, 9.06, 2.664
4, 6.85, 3.524
5, 5.99, 4.030
6, 5.13, 4.705
7, 4.68, 5.158
8, 4.22, 5.720
9, 4.09, 5.902
10, 4.06, 5.945
11, 3.89, 6.205
12, 3.80, 6.352
13, 3.70, 6.524
14, 3.62, 6.668
15, 3.56, 6.780
16, 3.38, 7.142
17, 3.29, 7.337
18, 3.27, 7.382
19, 3.25, 7.427
20, 3.27, 7.382
21, 3.24, 7.450
22, 3.24, 7.450
23, 3.21, 7.520
24, 3.20, 7.543
25, 3.17, 7.615
26, 3.14, 7.687
27, 3.17, 7.615
28, 3.17, 7.615
